ISO3166alpha3,WIKI,WOS
AFG,Afghanistan,afghanistan
ALA,Åland Islands,aland islands
ALB,Albania,albania
DZA,Algeria,algeria
ASM,American Samoa,american samoa
AND,Andorra,andorra
AGO,Angola,angola
AIA,Anguilla,anguilla
ATA,Antarctica,antarctica
ATG,Antigua and Barbuda,antigua & barbu
ARG,Argentina,argentina
ARM,Armenia,armenia
ABW,Aruba,aruba
AUS,Australia,australia
AUT,Austria,austria
AZE,Azerbaijan,azerbaijan
BHS,Bahamas,bahamas
BHR,Bahrain,bahrain
BGD,Bangladesh,bangladesh
BRB,Barbados,barbados
BLR,Belarus,belarus
BEL,Belgium,belgium
BLZ,Belize,belize
BEN,Benin,benin
BMU,Bermuda,bermuda
BTN,Bhutan,bhutan
BOL,Bolivia (Plurinational State of),bolivia
BES,"Bonaire, Sint Eustatius and Saba",bonaire
BIH,Bosnia and Herzegovina,bosnia & herceg
BWA,Botswana,botswana
BVT,Bouvet Island,bouvet island
BRA,Brazil,brazil
IOT,British Indian Ocean Territory,british indian ocean territory
BRN,Brunei Darussalam,brunei
BGR,Bulgaria,bulgaria
BFA,Burkina Faso,burkina faso
BDI,Burundi,burundi
CPV,Cabo Verde,cabo verde
KHM,Cambodia,cambodia
CMR,Cameroon,cameroon
CAN,Canada,canada
CYM,Cayman Islands,cayman islands
CAF,Central African Republic,central african republic
TCD,Chad,chad
CHL,Chile,chile
CHN,China,peoples r china
CXR,Christmas Island,christmas island
CCK,Cocos (Keeling) Islands,cocos islands
COL,Colombia,colombia
COM,Comoros,comoros
COG,Congo,congo
COD,"Congo, Democratic Republic of the",dem rep congo
COK,Cook Islands,cook islands
CRI,Costa Rica,costa rica
CIV,Côte d'Ivoire,cote ivoire
HRV,Croatia,croatia
CUB,Cuba,cuba
CUW,Curaçao,curacao
CYP,Cyprus,cyprus
CZE,Czechia,czech republic
DNK,Denmark,denmark
DJI,Djibouti,djibouti
DMA,Dominica,dominica
DOM,Dominican Republic,dominican republic
ECU,Ecuador,ecuador
EGY,Egypt,egypt
SLV,El Salvador,el salvador
GNQ,Equatorial Guinea,equatorial guinea
ERI,Eritrea,eritrea
EST,Estonia,estonia
SWZ,Eswatini,eswatini
ETH,Ethiopia,ethiopia
FLK,Falkland Islands (Malvinas),falkland island
FRO,Faroe Islands,faroe islands
FJI,Fiji,fiji
FIN,Finland,finland
FRA,France,france
GUF,French Guiana,french guiana
PYF,French Polynesia,french polynesia
ATF,French Southern Territories,french southern territories
GAB,Gabon,gabon
GMB,Gambia,gambia
GEO,Georgia,georgia
DEU,Germany,germany
GHA,Ghana,ghana
GIB,Gibraltar,gibraltar
GRC,Greece,greece
GRL,Greenland,greenland
GRD,Grenada,grenada
GLP,Guadeloupe,guadeloupe
GUM,Guam,guam
GTM,Guatemala,guatemala
GGY,Guernsey,guernsey
GIN,Guinea,guinea
GNB,Guinea-Bissau,guinea-bissau
GUY,Guyana,guyana
HTI,Haiti,haiti
HMD,Heard Island and McDonald Islands,heard island and mcdonald islands
VAT,Holy See,vatican
HND,Honduras,honduras
HKG,Hong Kong,hong kong
HUN,Hungary,hungary
ISL,Iceland,iceland
IND,India,india
IDN,Indonesia,indonesia
IRN,Iran (Islamic Republic of),iran
IRQ,Iraq,iraq
IRL,Ireland,ireland
IMN,Isle of Man,isle of man
ISR,Israel,israel
ITA,Italy,italy
JAM,Jamaica,jamaica
JPN,Japan,japan
JEY,Jersey,jersey
JOR,Jordan,jordan
KAZ,Kazakhstan,kazakhstan
KEN,Kenya,kenya
KIR,Kiribati,kiribati
PRK,Korea (Democratic People's Republic of),north korea
KOR,"Korea, Republic of",south korea
KWT,Kuwait,kuwait
KGZ,Kyrgyzstan,kyrgyzstan
LAO,Lao People's Democratic Republic,laos
LVA,Latvia,latvia
LBN,Lebanon,lebanon
LSO,Lesotho,lesotho
LBR,Liberia,liberia
LBY,Libya,libya
LIE,Liechtenstein,liechtenstein
LTU,Lithuania,lithuania
LUX,Luxembourg,luxembourg
MAC,Macao,macao
MDG,Madagascar,madagascar
MWI,Malawi,malawi
MYS,Malaysia,malaysia
MDV,Maldives,maldives
MLI,Mali,mali
MLT,Malta,malta
MHL,Marshall Islands,marshall islands
MTQ,Martinique,martinique
MRT,Mauritania,mauritania
MUS,Mauritius,mauritius
MYT,Mayotte,mayotte
MEX,Mexico,mexico
FSM,Micronesia (Federated States of),micronesia
MDA,"Moldova, Republic of",moldova
MCO,Monaco,monaco
MNG,Mongolia,mongolia
MNE,Montenegro,montenegro
MSR,Montserrat,montserrat
MAR,Morocco,morocco
MOZ,Mozambique,mozambique
MMR,Myanmar,myanmar
NAM,Namibia,namibia
NRU,Nauru,nauru
NPL,Nepal,nepal
NLD,Netherlands,netherlands
NCL,New Caledonia,new caledonia
NZL,New Zealand,new zealand
NIC,Nicaragua,nicaragua
NER,Niger,niger
NGA,Nigeria,nigeria
NIU,Niue,niue
NFK,Norfolk Island,norfolk island
MKD,North Macedonia,north macedonia
MNP,Northern Mariana Islands,northern mariana islands
NOR,Norway,norway
OMN,Oman,oman
PAK,Pakistan,pakistan
PLW,Palau,palau
PSE,"Palestine, State of",palestine
PAN,Panama,panama
PNG,Papua New Guinea,papua n guinea
PRY,Paraguay,paraguay
PER,Peru,peru
PHL,Philippines,philippines
PCN,Pitcairn,pitcairn
POL,Poland,poland
PRT,Portugal,portugal
PRI,Puerto Rico,puerto rico
QAT,Qatar,qatar
REU,Réunion,réunion
ROU,Romania,romania
RUS,Russian Federation,russia
RWA,Rwanda,rwanda
BLM,Saint Barthélemy,saint barthélemy
SHN,"Saint Helena, Ascension and Tristan da Cunha","saint helena, ascension and tristan da cunha"
KNA,Saint Kitts and Nevis,saint kitts & nevis
LCA,Saint Lucia,saint lucia
MAF,Saint Martin (French part),saint martin
SPM,Saint Pierre and Miquelon,saint pierre & miquelon
VCT,Saint Vincent and the Grenadines,saint vincent and the grenadines
WSM,Samoa,samoa
SMR,San Marino,san marino
STP,Sao Tome and Principe,sao tome and principe
SAU,Saudi Arabia,saudi arabia
SEN,Senegal,senegal
SRB,Serbia,serbia
SYC,Seychelles,seychelles
SLE,Sierra Leone,sierra leone
SGP,Singapore,singapore
SXM,Sint Maarten (Dutch part),sint maarten
SVK,Slovakia,slovakia
SVN,Slovenia,slovenia
SLB,Solomon Islands,solomon islands
SOM,Somalia,somalia
ZAF,South Africa,south africa
SGS,South Georgia and the South Sandwich Islands,south georgia and the south sandwich islands
SSD,South Sudan,south sudan
ESP,Spain,spain
LKA,Sri Lanka,sri lanka
SDN,Sudan,sudan
SUR,Suriname,suriname
SJM,Svalbard and Jan Mayen,svalbard
SWE,Sweden,sweden
CHE,Switzerland,switzerland
SYR,Syrian Arab Republic,syria
TWN,"Taiwan, Province of China",taiwan
TJK,Tajikistan,tajikistan
TZA,"Tanzania, United Republic of",tanzania
THA,Thailand,thailand
TLS,Timor-Leste,timor-leste
TGO,Togo,togo
TKL,Tokelau,tokelau
TON,Tonga,tonga
TTO,Trinidad and Tobago,trinidad tobago
TUN,Tunisia,tunisia
TUR,Turkey,turkey
TKM,Turkmenistan,turkmenistan
TCA,Turks and Caicos Islands,turks & caicos
TUV,Tuvalu,tuvalu
UGA,Uganda,uganda
UKR,Ukraine,ukraine
ARE,United Arab Emirates,u arab emirates
GBR,United Kingdom of Great Britain and Northern Ireland,united kingdom
UMI,United States Minor Outlying Islands,united states minor outlying islands
USA,United States of America,usa
URY,Uruguay,uruguay
UZB,Uzbekistan,uzbekistan
VUT,Vanuatu,vanuatu
VEN,Venezuela (Bolivarian Republic of),venezuela
VNM,Viet Nam,vietnam
VGB,Virgin Islands (British),british virgin isl
VIR,Virgin Islands (U.S.),virgin islands
WLF,Wallis and Futuna,wallis & futuna
ESH,Western Sahara,western sahara
YEM,Yemen,yemen
ZMB,Zambia,zambia
ZWE,Zimbabwe,zimbabwe
UNK,,kosovo
